section,group,id,text
ssn_015630,0,name_7446,ソウヤ
ssn_015630,0,ssn_015630_0001,消費の多いものほど、<br>余裕をもって確保しておきたい。
ssn_015630,0,ssn_015630_0002,キミも、面倒がらずに、<br>見つけたものは拾っておくといいだろう。
ssn_015630,0,ssn_015630_0101,よう！　キミの活躍は、<br>俺の耳にも届いているよ。
ssn_015630,0,ssn_015630_0102,だが、俺たちのスティアでの活動は、<br>終わったわけじゃない。
ssn_015630,0,ssn_015630_0103,むしろ、以前よりも、<br>忙しくなっているくらいだな。
ssn_015630,0,ssn_015630_0104,……それで、<br>またキミの力を貸してもらいたくてな。
ssn_015630,0,ssn_015630_0201,今回の調査対象は、<br>スティアリージョンにある、赤いコンテナだ。
ssn_015630,0,ssn_015630_0202,スティアの各地を巡って、<br>なるべく多くのデータを集めてくれ。
ssn_015630,0,ssn_015630_0301,ふむ……キミも忙しいだろうからな……。<br>また今度、お願いさせてもらうよ。
ssn_015630,0,ssn_015630_0401,おお、戻って来たか。
ssn_015630,0,ssn_015630_0402,かなり多くの赤いコンテナを、<br>見つけられたようだな。
ssn_015630,0,ssn_015630_0403,おかげでこちらも、<br>貴重な情報を得ることができた。
ssn_015630,0,ssn_015630_0404,それにしても、火山の奥側のコンテナは、<br>誰が置いたものなんだろうな。
ssn_015630,0,ssn_015630_0405,……まあ、そのあたりの調査は、<br>研究者たちに任せるとするか。
ssn_015630,0,ssn_015630_0406,なんにせよ、キミのおかげで、<br>物資の保管状況は、以前よりも格段によくなった。
ssn_015630,0,ssn_015630_0407,協力に感謝するよ。<br>本当にありがとう。
ssn_015630,0,ssn_015630_0501,俺は、戦いは得意じゃないが、<br>仲間を守りたいという気持ちは、誰にも負けないつもりだ。
ssn_015630,0,ssn_015630_0502,キミを含め、仲間たちの活動を、<br>後方からしっかりとサポートしていくよ。
ssn_015630,1,name_7446,souya
ssn_015630,1,ssn_015630_0001,Lo mejor es abastecerse de artículos que tienen una gran demanda.
ssn_015630,1,ssn_015630_0002,Te aconsejo que recojas cualquier cosa que encuentres también.
ssn_015630,1,ssn_015630_0101,¡Hola! He oído mucho sobre el gran trabajo que estás haciendo.
ssn_015630,1,ssn_015630_0102,Pero todavía tenemos mucho trabajo por hacer aquí en Stia.
ssn_015630,1,ssn_015630_0103,"De hecho, creo que tenemos más trabajo por delante que nunca."
ssn_015630,1,ssn_015630_0104,Y es por eso que quería pedirles ayuda una vez más.
ssn_015630,1,ssn_015630_0201,Me gustaría saber más sobre los contenedores rojos en la región de Stia.
ssn_015630,1,ssn_015630_0202,Necesito tanta información como puedas encontrar de todas partes de la región.
ssn_015630,1,ssn_015630_0301,Hmph. Supongo que estás demasiado ocupado...<br>Quizás pueda volver a preguntar en otro momento.
ssn_015630,1,ssn_015630_0401,"¡Oye, has vuelto!"
ssn_015630,1,ssn_015630_0402,Parece que encontraste bastantes contenedores rojos.
ssn_015630,1,ssn_015630_0403,Estos son algunos datos realmente valiosos.
ssn_015630,1,ssn_015630_0404,¿Quién podría haber colocado contenedores dentro de un volcán?
ssn_015630,1,ssn_015630_0405,"Bueno, dejaré ese misterio a los investigadores."
ssn_015630,1,ssn_015630_0406,"En cualquier caso, nuestra situación de suministro ha mejorado mucho gracias a usted."
ssn_015630,1,ssn_015630_0407,Agradezco tu ayuda. <br>Mi más sincero agradecimiento.
ssn_015630,1,ssn_015630_0501,"Puede que no sea un buen luchador, pero siempre puedes contar conmigo para apoyar a mis compañeros."
ssn_015630,1,ssn_015630_0502,Y eso también se aplica a ti. Estaré aquí para brindar todo el apoyo que pueda.
